basis F_compressed_cl F_original_cl F_prc_cl F_total F_patt_cl F_nb_patts F_residuals_cl F_nb_residuals F_nb_simple F_nb_concat F_nb_nested F_nb_other F_nbO_>3 F_nbO_max F_nbO_mean F_nbO_median F_nbOdup_>3 F_nbOdup_max F_nbOdup_mean F_nbOdup_median F_r_>3 F_r_max F_r_mean F_r_median F_nb_cands F_time S_compressed_cl S_original_cl S_prc_cl S_total S_patt_cl S_nb_patts S_residuals_cl S_nb_residuals S_nb_simple S_nb_concat S_nb_nested S_nb_other S_nbO_>3 S_nbO_max S_nbO_mean S_nbO_median S_nbOdup_>3 S_nbOdup_max S_nbOdup_mean S_nbOdup_median S_r_>3 S_r_max S_r_mean S_r_median S_nb_cands S_time V_compressed_cl V_original_cl V_prc_cl V_total V_patt_cl V_nb_patts V_residuals_cl V_nb_residuals V_nb_simple V_nb_concat V_nb_nested V_nb_other V_nbO_>3 V_nbO_max V_nbO_mean V_nbO_median V_nbOdup_>3 V_nbOdup_max V_nbOdup_mean V_nbOdup_median V_r_>3 V_r_max V_r_mean V_r_median V_nb_cands V_time H_compressed_cl H_original_cl H_prc_cl H_total H_patt_cl H_nb_patts H_residuals_cl H_nb_residuals H_nb_simple H_nb_concat H_nb_nested H_nb_other H_nbO_>3 H_nbO_max H_nbO_mean H_nbO_median H_nbOdup_>3 H_nbOdup_max H_nbOdup_mean H_nbOdup_median H_r_>3 H_r_max H_r_mean H_r_median H_nb_cands H_time V+H_compressed_cl V+H_original_cl V+H_prc_cl V+H_total V+H_patt_cl V+H_nb_patts V+H_residuals_cl V+H_nb_residuals V+H_nb_simple V+H_nb_concat V+H_nb_nested V+H_nb_other V+H_nbO_>3 V+H_nbO_max V+H_nbO_mean V+H_nbO_median V+H_nbOdup_>3 V+H_nbOdup_max V+H_nbOdup_mean V+H_nbOdup_median V+H_r_>3 V+H_r_max V+H_r_mean V+H_r_median V+H_nb_cands V+H_time evNbO_>10 evNbO_max evNbO_mean evNbO_median nb_rounds size_ABC size_O size_T runtime_cycles runtime_combine runtime_mining
UbiqLog_14_F_ISE_abs_v01 98070.933815 199781.999303 49.088974 682.0 59578.093826 682.0 38492.839989 1766.0 507.0 174.0 0 1.0 511 240 11.7492668622 5.0 511 240 11.7492668622 5.0 460 120 8.01173020528 4.0 15224 11.18858 102348.230715 199781.999303 51.229956 821.0 61881.369275 821.0 40466.861441 1857.0 821.0 0 0 0 598 120 9.57856272838 4.0 598 120 9.57856272838 4.0 598 120 9.57856272838 4.0 11417 11.556139 102348.230715 199781.999303 51.229956 821.0 61881.369275 821.0 40466.861441 1857.0 821.0 0 0 0 598 120 9.57856272838 4.0 598 120 9.57856272838 4.0 598 120 9.57856272838 4.0 11542 11.480274 97984.358756 199781.999303 49.045639 682.0 59491.518766 682.0 38492.839989 1766.0 507.0 175.0 0 0 511 240 11.7140762463 5.0 511 240 11.7140762463 5.0 460 120 8.01173020528 4.0 14946 11.178633 97984.358756 199781.999303 49.045639 682.0 59491.518766 682.0 38492.839989 1766.0 507.0 175.0 0 0 511 240 11.7140762463 5.0 511 240 11.7140762463 5.0 460 120 8.01173020528 4.0 15071 11.218042 49 1818 197.591836735 47.0 4 49 9682 100684 76.014192 63.198892 150.401664
UbiqLog_14_F_IS_rel_v01 42460.996514 104860.654217 40.492782 180.0 29857.181263 180.0 12603.815252 677.0 164.0 16.0 0 0 180 594 33.4388888889 8.0 180 594 33.4388888889 8.0 170 594 32.9055555556 7.0 4249 9.982587 42719.527178 104860.654217 40.739329 180.0 29442.733807 180.0 13276.793371 711.0 180.0 0 0 0 179 594 33.2055555556 7.0 179 594 33.2055555556 7.0 179 594 33.2055555556 7.0 3304 9.794434 42719.527178 104860.654217 40.739329 180.0 29442.733807 180.0 13276.793371 711.0 180.0 0 0 0 179 594 33.2055555556 7.0 179 594 33.2055555556 7.0 179 594 33.2055555556 7.0 3313 9.782628 42460.996514 104860.654217 40.492782 180.0 29857.181263 180.0 12603.815252 677.0 164.0 16.0 0 0 180 594 33.4388888889 8.0 180 594 33.4388888889 8.0 170 594 32.9055555556 7.0 4237 10.079547 42460.996514 104860.654217 40.492782 180.0 29857.181263 180.0 12603.815252 677.0 164.0 16.0 0 0 180 594 33.4388888889 8.0 180 594 33.4388888889 8.0 170 594 32.9055555556 7.0 4246 9.905005 29 2670 230.206896552 29.0 3 29 6676 6675 48.649746 44.726132 103.358465
UbiqLog_15_F_ISE_abs_v01 178552.690842 400786.811809 44.55054 949.0 126237.096706 949.0 52315.594136 2376.0 411.0 537.0 0 1.0 812 325 20.3614330875 12.0 812 325 20.3614330875 12.0 745 68 7.50368809273 5.0 48349 45.940001 259438.818595 400786.811809 64.732374 1919.0 184698.772711 1919.0 74740.045884 3497.0 1919.0 0 0 0 1701 68 8.70818134445 5.0 1701 68 8.70818134445 5.0 1701 68 8.70818134445 5.0 28737 58.68069 259751.774236 400786.811809 64.810459 1924.0 184640.743202 1924.0 75111.031034 3516.0 1920.0 0 4.0 0 1698 68 8.68243243243 5.0 1698 68 8.68243243243 5.0 1698 68 8.6658004158 5.0 28769 65.523748 178482.735542 400786.811809 44.533086 948.0 125904.359031 948.0 52578.376511 2390.0 411.0 537.0 0 0 814 325 20.3301687764 12.0 814 325 20.3301687764 12.0 747 68 7.50738396624 5.0 48217 45.906337 178482.735542 400786.811809 44.533086 948.0 125904.359031 948.0 52578.376511 2390.0 411.0 537.0 0 0 814 325 20.3301687764 12.0 814 325 20.3301687764 12.0 747 68 7.50738396624 5.0 48249 46.012174 78 1344 247.275 38.5 3 80 19782 44587 170.697988 498.116292 714.754281
UbiqLog_15_F_IS_rel_v01 75091.770312 235866.54627 31.83655 244.0 53335.98381 244.0 21755.786501 1024.0 214.0 30.0 0 0 231 4326 52.0491803279 6.0 231 4326 52.0491803279 6.0 212 2163 42.7459016393 5.0 4223 147.627136 78369.749633 235866.54627 33.22631 249.0 55416.443465 249.0 22953.306168 1079.0 249.0 0 0 0 225 2163 50.8112449799 5.0 225 2163 50.8112449799 5.0 225 2163 50.8112449799 5.0 3626 152.758063 78369.749633 235866.54627 33.22631 249.0 55416.443465 249.0 22953.306168 1079.0 249.0 0 0 0 225 2163 50.8112449799 5.0 225 2163 50.8112449799 5.0 225 2163 50.8112449799 5.0 3628 150.849383 75091.770312 235866.54627 31.83655 244.0 53335.98381 244.0 21755.786501 1024.0 214.0 30.0 0 0 231 4326 52.0491803279 6.0 231 4326 52.0491803279 6.0 212 2163 42.7459016393 5.0 4221 151.217015 75091.770312 235866.54627 31.83655 244.0 53335.98381 244.0 21755.786501 1024.0 214.0 30.0 0 0 231 4326 52.0491803279 6.0 231 4326 52.0491803279 6.0 212 2163 42.7459016393 5.0 4223 149.926534 44 2163 297.391304348 36.5 2 46 13680 13679 97.046282 1029.324058 1273.997476
UbiqLog_16_F_ISE_abs_v01 291415.915172 611065.349564 47.689812 1798.0 208060.184606 1798.0 83355.730566 3658.0 771.0 1027.0 0 0 1537 168 16.0244716352 10.0 1537 168 16.0244716352 10.0 1415 38 5.94938820912 4.0 86853 174.925868 413913.471474 611065.349564 67.736368 3739.0 288465.959062 3739.0 125447.512412 5687.0 3739.0 0 0 0 3281 38 6.40599090666 5.0 3281 38 6.40599090666 5.0 3281 38 6.40599090666 5.0 52760 228.40873 413913.471474 611065.349564 67.736368 3739.0 288465.959062 3739.0 125447.512412 5687.0 3739.0 0 0 0 3281 38 6.40599090666 5.0 3281 38 6.40599090666 5.0 3281 38 6.40599090666 5.0 52785 280.494482 291440.475432 611065.349564 47.693831 1798.0 208171.601378 1798.0 83268.874053 3654.0 770.0 1028.0 0 0 1538 168 16.0289210234 10.0 1538 168 16.0289210234 10.0 1415 38 5.95439377086 4.0 86766 176.413004 291440.475432 611065.349564 47.693831 1798.0 208171.601378 1798.0 83268.874053 3654.0 770.0 1028.0 0 0 1538 168 16.0289210234 10.0 1538 168 16.0289210234 10.0 1415 38 5.95439377086 4.0 86791 177.52322 74 2131 384.12 52.0 3 75 28809 90751 439.247531 2171.456318 2785.629717
UbiqLog_16_F_IS_rel_v01 119116.570259 382984.358638 31.102202 504.0 84208.511574 504.0 34908.058685 1610.0 478.0 24.0 2.0 0 457 10830 39.4484126984 6.0 457 10830 39.4484126984 6.0 439 3610 24.9186507937 6.0 10178 341.542041 127122.633952 382984.358638 33.192644 507.0 91136.154887 507.0 35986.479064 1657.0 507.0 0 0 0 454 3610 39.1163708087 6.0 454 3610 39.1163708087 6.0 454 3610 39.1163708087 6.0 8545 314.4253 127244.290244 382984.358638 33.224409 507.0 91026.84178 507.0 36217.448464 1669.0 505.0 0 2.0 0 453 3610 39.0946745562 6.0 453 3610 39.0946745562 6.0 453 3610 39.0591715976 6.0 8560 315.807173 118994.913967 382984.358638 31.070437 504.0 84317.824682 504.0 34677.089285 1598.0 480.0 24.0 0 0 458 10830 39.4702380952 6.0 458 10830 39.4702380952 6.0 440 3610 24.9761904762 6.0 10151 323.592253 119116.570259 382984.358638 31.102202 504.0 84208.511574 504.0 34908.058685 1610.0 478.0 24.0 2.0 0 457 10830 39.4484126984 6.0 457 10830 39.4484126984 6.0 439 3610 24.9186507937 6.0 10166 325.263958 48 3610 437.081632653 34.0 3 49 21417 21416 156.092541 1493.226562 1990.861144
UbiqLog_17_F_ISE_abs_v01 259531.367532 524069.747779 49.522295 1602.0 180497.157979 1602.0 79034.209552 3450.0 477.0 1122.0 0 3.0 1318 240 15.22721598 12.0 1318 240 15.22721598 12.0 1084 40 5.47315855181 4.0 68423 100.784432 359182.841403 524069.747779 68.537221 3114.0 236963.740471 3114.0 122219.100932 5561.0 3114.0 0 0 0 2498 40 6.47816313423 5.0 2498 40 6.47816313423 5.0 2498 40 6.47816313423 5.0 40887 133.555744 359324.905872 524069.747779 68.564329 3120.0 237046.6224 3120.0 122278.283472 5564.0 3112.0 0 8.0 0 2508 40 6.46698717949 5.0 2508 40 6.46698717949 5.0 2506 40 6.44583333333 5.0 40959 143.489129 259470.440409 524069.747779 49.510669 1605.0 180908.508348 1605.0 78561.932061 3427.0 470.0 1135.0 0 0 1327 240 15.1881619938 12.0 1327 240 15.1881619938 12.0 1088 40 5.48535825545 4.0 68052 104.327199 259470.440409 524069.747779 49.510669 1605.0 180908.508348 1605.0 78561.932061 3427.0 470.0 1135.0 0 0 1327 240 15.1881619938 12.0 1327 240 15.1881619938 12.0 1088 40 5.48535825545 4.0 68124 103.347159 79 2351 316.759493671 58.0 4 79 25024 80935 510.311466 1143.240362 1754.33626
UbiqLog_17_F_IS_rel_v01 100223.407856 273659.410177 36.62341 410.0 70377.663541 410.0 29845.744315 1442.0 343.0 67.0 0 0 400 3415 35.1195121951 6.0 400 3415 35.1195121951 6.0 369 3415 34.043902439 5.0 9907 263.592195 101886.916467 273659.410177 37.231286 424.0 69502.002598 424.0 32384.913869 1564.0 424.0 0 0 0 407 3415 33.6344339623 5.0 407 3415 33.6344339623 5.0 407 3415 33.6344339623 5.0 7809 266.721897 101886.916467 273659.410177 37.231286 424.0 69502.002598 424.0 32384.913869 1564.0 424.0 0 0 0 407 3415 33.6344339623 5.0 407 3415 33.6344339623 5.0 407 3415 33.6344339623 5.0 7814 264.961329 100223.407856 273659.410177 36.62341 410.0 70377.663541 410.0 29845.744315 1442.0 343.0 67.0 0 0 400 3415 35.1195121951 6.0 400 3415 35.1195121951 6.0 369 3415 34.043902439 5.0 9900 265.831074 100223.407856 273659.410177 36.62341 410.0 70377.663541 410.0 29845.744315 1442.0 343.0 67.0 0 0 400 3415 35.1195121951 6.0 400 3415 35.1195121951 6.0 369 3415 34.043902439 5.0 9905 267.593482 38 3415 415.526315789 78.0 3 38 15790 15789 114.565703 2793.301676 3171.459574
UbiqLog_18_F_ISE_abs_v01 1122253.26554 3733349.64714 30.060224 5073.0 833820.395294 5073.0 288432.870249 11589.0 3102.0 1967.0 0 4.0 4295 1260 32.3790656416 6.0 4295 1260 32.3794598857 6.0 3808 180 12.55273014 5.0 233353 1339.397769 1553796.72803 3733349.64714 41.619373 9468.0 1192913.3666 9468.0 360883.361427 14769.0 9468.0 0 0 0 8062 180 16.3476975074 5.0 8062 180 16.3476975074 5.0 8062 180 16.3476975074 5.0 141043 1824.45192 1553727.46666 3733349.64714 41.617518 9457.0 1192889.97786 9457.0 360837.488801 14767.0 9445.0 0 12.0 0 8049 180 16.3716823517 5.0 8049 180 16.3717880935 5.0 8048 180 16.3599450143 5.0 141898 1758.356408 1122920.79033 3733349.64714 30.078104 5086.0 834661.954341 5086.0 288258.835989 11580.0 3113.0 1973.0 0 0 4309 1260 32.2882422336 6.0 4309 1260 32.2882422336 6.0 3823 180 12.5456154149 5.0 227551 1343.60147 1122886.64752 3733349.64714 30.077189 5082.0 834500.290603 5082.0 288386.356921 11586.0 3107.0 1973.0 2.0 0 4305 1260 32.3132624951 6.0 4305 1260 32.3132624951 6.0 3819 180 12.5511609603 5.0 228406 1337.028057 240 6101 696.526970954 68.0 4 241 167863 90623 1812.054627 25821.632684 28973.08508
UbiqLog_18_F_IS_rel_v01 630330.861402 2203689.5073 28.603433 2365.0 459794.680075 2365.0 170536.181327 6659.0 2083.0 282.0 0 0 1782 16292 41.1183932347 5.0 1782 16292 41.1183932347 5.0 1624 4416 25.9073995772 4.0 40981 2367.061174 677622.679844 2203689.5073 30.749463 2567.0 504154.974731 2567.0 173467.705112 6767.0 2567.0 0 0 0 1791 4417 37.8215816128 4.0 1791 4417 37.8215816128 4.0 1791 4417 37.8215816128 4.0 34798 2382.502996 677622.679844 2203689.5073 30.749463 2567.0 504154.974731 2567.0 173467.705112 6767.0 2567.0 0 0 0 1791 4417 37.8215816128 4.0 1791 4417 37.8215816128 4.0 1791 4417 37.8215816128 4.0 34821 2409.109971 630330.861402 2203689.5073 28.603433 2365.0 459794.680075 2365.0 170536.181327 6659.0 2083.0 282.0 0 0 1782 16292 41.1183932347 5.0 1782 16292 41.1183932347 5.0 1624 4416 25.9073995772 4.0 40948 2390.406689 630330.861402 2203689.5073 28.603433 2365.0 459794.680075 2365.0 170536.181327 6659.0 2083.0 282.0 0 0 1782 16292 41.1183932347 5.0 1782 16292 41.1183932347 5.0 1624 4416 25.9073995772 4.0 40971 2377.089178 141 8640 730.147887324 55.5 3 142 103681 103680 739.451725 13214.023535 16320.536434
UbiqLog_19_F_ISE_abs_v01 791263.598277 2572126.40391 30.763014 3208.0 587598.494591 3208.0 203665.103686 7997.0 1641.0 1565.0 1.0 1.0 2662 1043 34.9133416459 8.0 2662 1043 34.9133416459 8.0 2295 150 10.5900872818 5.0 173943 692.031592 1217567.67749 2572126.40391 47.337008 6620.0 937761.026115 6620.0 279806.651377 11314.0 6620.0 0 0 0 5600 150 15.7442598187 6.0 5600 150 15.7442598187 6.0 5600 150 15.7442598187 6.0 100858 965.723073 1217493.37546 2572126.40391 47.334119 6617.0 937686.724084 6617.0 279806.651377 11314.0 6615.0 0 2.0 0 5599 150 15.7518512921 6.0 5599 150 15.7518512921 6.0 5598 150 15.7491310261 6.0 101552 989.127175 791271.063516 2572126.40391 30.763304 3211.0 587662.391237 3211.0 203608.672279 7995.0 1644.0 1567.0 0 0 2665 1043 34.875739645 8.0 2665 1043 34.875739645 8.0 2298 150 10.5845530987 5.0 165460 683.772261 791230.497123 2572126.40391 30.761727 3210.0 587621.824845 3210.0 203608.672279 7995.0 1643.0 1566.0 1.0 0 2664 1043 34.8866043614 8.0 2664 1043 34.8866043614 8.0 2297 150 10.5859813084 5.0 166154 682.675451 175 5361 650.771428571 59.0 3 175 113885 164231 2098.836829 14197.154147 16988.022568
UbiqLog_19_F_IS_rel_v01 456446.498779 1500824.51238 30.413049 1564.0 335737.17138 1564.0 120709.327399 4864.0 1313.0 251.0 0 0 1232 34000 44.6035805627 5.0 1232 34000 44.6035805627 5.0 1089 8500 22.1445012788 4.0 30856 3347.068517 500108.377623 1500824.51238 33.322242 1726.0 373551.553154 1726.0 126556.824468 5101.0 1726.0 0 0 0 1236 8500 40.2253765933 4.0 1236 8500 40.2253765933 4.0 1236 8500 40.2253765933 4.0 25592 3471.131605 500108.377623 1500824.51238 33.322242 1726.0 373551.553154 1726.0 126556.824468 5101.0 1726.0 0 0 0 1236 8500 40.2253765933 4.0 1236 8500 40.2253765933 4.0 1236 8500 40.2253765933 4.0 25595 3446.165857 456446.498779 1500824.51238 30.413049 1564.0 335737.17138 1564.0 120709.327399 4864.0 1313.0 251.0 0 0 1232 34000 44.6035805627 5.0 1232 34000 44.6035805627 5.0 1089 8500 22.1445012788 4.0 30852 3451.890206 456446.498779 1500824.51238 30.413049 1564.0 335737.17138 1564.0 120709.327399 4864.0 1313.0 251.0 0 0 1232 34000 44.6035805627 5.0 1232 34000 44.6035805627 5.0 1089 8500 22.1445012788 4.0 30855 3429.816141 101 8513 736.841584158 59.0 3 101 74421 74420 675.655695 32621.633575 36644.357787
UbiqLog_1_M_ISE_abs_v01 131647.089677 214629.811718 61.336815 820.0 76833.576648 820.0 54813.513029 2520.0 379.0 441.0 0 0 656 108 10.8634146341 8.0 656 108 10.8634146341 8.0 564 36 5.07073170732 4.0 29694 17.261509 161808.134172 214629.811718 75.389403 1397.0 91328.984082 1397.0 70479.150091 3310.0 1397.0 0 0 0 1058 36 5.34717251253 4.0 1058 36 5.34717251253 4.0 1058 36 5.34717251253 4.0 18015 21.74331 161808.134172 214629.811718 75.389403 1397.0 91328.984082 1397.0 70479.150091 3310.0 1397.0 0 0 0 1058 36 5.34717251253 4.0 1058 36 5.34717251253 4.0 1058 36 5.34717251253 4.0 18026 22.371941 131647.089677 214629.811718 61.336815 820.0 76833.576648 820.0 54813.513029 2520.0 379.0 441.0 0 0 656 108 10.8634146341 8.0 656 108 10.8634146341 8.0 564 36 5.07073170732 4.0 29663 16.887392 131647.089677 214629.811718 61.336815 820.0 76833.576648 820.0 54813.513029 2520.0 379.0 441.0 0 0 656 108 10.8634146341 8.0 656 108 10.8634146341 8.0 564 36 5.07073170732 4.0 29674 17.452647 88 1215 118.303370787 32.0 3 89 10529 42774 92.763858 136.920463 246.94583
UbiqLog_1_M_IS_rel_v01 64824.035339 148938.282687 43.524092 260.0 39131.295895 260.0 25692.739443 1271.0 228.0 31.0 1.0 0 237 3240 28.6653846154 5.0 237 3240 28.6653846154 5.0 214 1620 21.9846153846 5.0 5613 53.553389 66206.08815 148938.282687 44.452029 267.0 39344.809326 267.0 26861.278824 1329.0 267.0 0 0 0 243 1620 27.6816479401 5.0 243 1620 27.6816479401 5.0 243 1620 27.6816479401 5.0 4483 52.706694 66166.068706 148938.282687 44.425159 265.0 39284.887716 265.0 26881.18099 1330.0 264.0 0 1.0 0 243 1620 27.8867924528 5.0 243 1620 27.8867924528 5.0 242 1620 27.8641509434 5.0 4485 53.008569 64871.961452 148938.282687 43.556271 260.0 39119.515511 260.0 25752.445941 1274.0 228.0 32.0 0 0 237 3240 28.6538461538 5.0 237 3240 28.6538461538 5.0 214 1620 21.9846153846 5.0 5611 53.321317 64824.035339 148938.282687 43.524092 260.0 39131.295895 260.0 25692.739443 1271.0 228.0 31.0 1.0 0 237 3240 28.6653846154 5.0 237 3240 28.6653846154 5.0 214 1620 21.9846153846 5.0 5613 54.040112 55 1635 155.107142857 34.0 2 56 8686 8685 56.620445 307.63578 417.809614
UbiqLog_20_M_ISE_abs_v01 219562.30554 339895.863607 64.596934 1334.0 122616.495525 1334.0 96945.810015 4186.0 826.0 507.0 0 1.0 1068 128 8.70314842579 6.0 1068 128 8.70314842579 6.0 892 64 5.7616191904 4.0 29419 38.15457 240215.645078 339895.863607 70.673306 1779.0 134314.157141 1779.0 105901.487937 4568.0 1779.0 0 0 0 1335 69 6.20966835301 4.0 1335 69 6.20966835301 4.0 1335 69 6.20966835301 4.0 21243 41.984648 240145.737925 339895.863607 70.652739 1771.0 133900.997082 1771.0 106244.740843 4585.0 1768.0 0 3.0 0 1327 69 6.22529644269 4.0 1327 69 6.22529644269 4.0 1326 69 6.20722755505 4.0 21269 42.920666 219625.789315 339895.863607 64.615611 1332.0 122505.072114 1332.0 97120.717201 4195.0 824.0 508.0 0 0 1065 128 8.70795795796 6.0 1065 128 8.70795795796 6.0 890 64 5.76651651652 4.0 29358 38.482489 219625.789315 339895.863607 64.615611 1332.0 122505.072114 1332.0 97120.717201 4195.0 824.0 508.0 0 0 1065 128 8.70795795796 6.0 1065 128 8.70795795796 6.0 890 64 5.76651651652 4.0 29384 38.46272 117 2159 130.923728814 39.5 3 118 15449 98993 168.447707 213.860108 420.462385
UbiqLog_20_M_IS_rel_v01 95152.141312 193871.467921 49.080013 448.0 58089.902183 448.0 37062.239129 1841.0 400.0 47.0 0 1.0 446 2346 20.2834821429 6.0 446 2346 20.2834821429 6.0 419 2346 19.7723214286 6.0 11949 50.356248 96071.483229 193871.467921 49.554215 456.0 57140.980091 456.0 38930.503138 1934.0 456.0 0 0 0 451 2346 19.7149122807 6.0 451 2346 19.7149122807 6.0 451 2346 19.7149122807 6.0 8738 48.206856 96112.790278 193871.467921 49.575521 455.0 57124.485813 455.0 38988.304465 1937.0 454.0 0 1.0 0 450 2346 19.7626373626 6.0 450 2346 19.7626373626 6.0 450 2346 19.7406593407 6.0 8762 48.675573 95108.083348 193871.467921 49.057287 450.0 58140.774165 450.0 36967.309183 1836.0 403.0 47.0 0 0 448 2346 20.1911111111 6.0 448 2346 20.1911111111 6.0 421 2346 19.7111111111 6.0 11916 49.713517 95149.390397 193871.467921 49.078594 449.0 58124.279887 449.0 37025.110509 1839.0 401.0 47.0 1.0 0 447 2346 20.2405345212 6.0 447 2346 20.2405345212 6.0 420 2346 19.7371937639 6.0 11940 49.552336 63 3234 170.171875 58.0 3 64 10891 10890 73.746179 473.387554 597.489981
UbiqLog_21_F_ISE_abs_v01 93601.314663 121869.530055 76.804526 545.0 41366.483671 545.0 52234.830992 2289.0 363.0 182.0 0 0 303 80 5.96146788991 4.0 303 80 5.96146788991 4.0 191 80 4.24770642202 3.0 7639 2.908592 98556.130837 121869.530055 80.870198 707.0 44008.93514 707.0 54547.195697 2394.0 707.0 0 0 0 306 80 4.41301272984 3.0 306 80 4.41301272984 3.0 306 80 4.41301272984 3.0 5857 3.043291 98556.130837 121869.530055 80.870198 707.0 44008.93514 707.0 54547.195697 2394.0 707.0 0 0 0 306 80 4.41301272984 3.0 306 80 4.41301272984 3.0 306 80 4.41301272984 3.0 5860 2.964677 93601.314663 121869.530055 76.804526 545.0 41366.483671 545.0 52234.830992 2289.0 363.0 182.0 0 0 303 80 5.96146788991 4.0 303 80 5.96146788991 4.0 191 80 4.24770642202 3.0 7631 2.912401 93601.314663 121869.530055 76.804526 545.0 41366.483671 545.0 52234.830992 2289.0 363.0 182.0 0 0 303 80 5.96146788991 4.0 303 80 5.96146788991 4.0 191 80 4.24770642202 3.0 7634 2.836587 85 479 64.7764705882 38.0 3 85 5506 92897 33.461801 14.892916 51.263309
UbiqLog_21_F_IS_rel_v01 45295.083987 71351.98515 63.481183 321.0 26631.169955 321.0 18663.914032 1031.0 264.0 57.0 0 0 302 158 10.062305296 6.0 302 158 10.062305296 6.0 263 158 9.29283489097 5.0 8951 2.421307 46336.525438 71351.98515 64.940766 329.0 25515.295498 329.0 20821.22994 1149.0 329.0 0 0 0 305 158 9.44984802432 5.0 305 158 9.44984802432 5.0 305 158 9.44984802432 5.0 5325 2.025288 46336.525438 71351.98515 64.940766 329.0 25515.295498 329.0 20821.22994 1149.0 329.0 0 0 0 305 158 9.44984802432 5.0 305 158 9.44984802432 5.0 305 158 9.44984802432 5.0 5334 1.557054 45295.083987 71351.98515 63.481183 321.0 26631.169955 321.0 18663.914032 1031.0 264.0 57.0 0 0 302 158 10.062305296 6.0 302 158 10.062305296 6.0 263 158 9.29283489097 5.0 8940 2.550161 45295.083987 71351.98515 63.481183 321.0 26631.169955 321.0 18663.914032 1031.0 264.0 57.0 0 0 302 158 10.062305296 6.0 302 158 10.062305296 6.0 263 158 9.29283489097 5.0 8949 2.344364 51 806 83.0196078431 51.0 3 51 4234 4233 29.258505 18.308074 49.987886
UbiqLog_22_M_ISE_abs_v01 573759.525187 1281232.43039 44.781845 3182.0 405505.07686 3182.0 168254.448327 7430.0 1569.0 1610.0 1.0 2.0 2887 390 19.5496543055 8.0 2887 390 19.5496543055 8.0 2736 66 6.77152734129 5.0 171786 513.736477 842835.364761 1281232.43039 65.783174 7211.0 589118.921665 7211.0 253716.443095 11427.0 7211.0 0 0 0 6699 66 7.00097073915 5.0 6699 66 7.00097073915 5.0 6699 66 7.00097073915 5.0 95589 849.545183 843367.163291 1281232.43039 65.824681 7211.0 591676.376329 7211.0 251690.786962 11330.0 7193.0 0 18.0 0 6684 66 7.02731937318 5.0 6684 66 7.02731937318 5.0 6683 66 7.00762723617 5.0 95842 877.361351 574219.396336 1281232.43039 44.817738 3196.0 406885.712937 3196.0 167333.683399 7389.0 1561.0 1635.0 0 0 2911 390 19.5037546934 8.0 2911 390 19.5037546934 8.0 2757 66 6.76564455569 5.0 170583 539.760715 574166.479186 1281232.43039 44.813608 3194.0 406815.732467 3194.0 167350.746718 7390.0 1558.0 1635.0 1.0 0 2910 390 19.5153412649 8.0 2910 390 19.5153412649 8.0 2755 66 6.76737633062 5.0 170836 541.783097 121 2547 490.694214876 58.0 3 121 59374 70461 1564.162964 16186.725707 18264.625148
UbiqLog_22_M_IS_rel_v01 227630.104909 870531.217706 26.148414 860.0 176450.83322 860.0 51179.271689 2214.0 766.0 94.0 0 0 698 7720 49.5162790698 5.0 698 7720 49.5162790698 5.0 646 3860 44.588372093 5.0 13040 914.012268 233065.466039 870531.217706 26.772787 926.0 181484.815702 926.0 51580.650337 2225.0 926.0 0 0 0 702 3860 45.9784017279 5.0 702 3860 45.9784017279 5.0 702 3860 45.9784017279 5.0 11375 920.024499 233065.466039 870531.217706 26.772787 926.0 181484.815702 926.0 51580.650337 2225.0 926.0 0 0 0 702 3860 45.9784017279 5.0 702 3860 45.9784017279 5.0 702 3860 45.9784017279 5.0 11378 911.214098 227630.104909 870531.217706 26.148414 860.0 176450.83322 860.0 51179.271689 2214.0 766.0 94.0 0 0 698 7720 49.5162790698 5.0 698 7720 49.5162790698 5.0 646 3860 44.588372093 5.0 13037 916.202112 227630.104909 870531.217706 26.148414 860.0 176450.83322 860.0 51179.271689 2214.0 766.0 94.0 0 0 698 7720 49.5162790698 5.0 698 7720 49.5162790698 5.0 646 3860 44.588372093 5.0 13040 909.799333 61 3872 730.049180328 58.0 2 61 44533 44532 364.754488 10407.786654 11686.55341
UbiqLog_23_F_ISE_abs_v01 88153.873764 227374.991394 38.770259 393.0 59640.205608 393.0 28513.668155 981.0 147.0 246.0 0 0 333 510 19.4503816794 9.0 333 510 19.4503816794 9.0 208 85 6.91603053435 4.0 17284 8.475977 127122.361978 227374.991394 55.908682 737.0 88349.803092 737.0 38772.558886 1357.0 737.0 0 0 0 492 85 9.40569877883 4.0 492 85 9.40569877883 4.0 492 85 9.40569877883 4.0 9975 9.647127 127122.361978 227374.991394 55.908682 737.0 88349.803092 737.0 38772.558886 1357.0 737.0 0 0 0 492 85 9.40569877883 4.0 492 85 9.40569877883 4.0 492 85 9.40569877883 4.0 9976 9.47564 88153.873764 227374.991394 38.770259 393.0 59640.205608 393.0 28513.668155 981.0 147.0 246.0 0 0 333 510 19.4503816794 9.0 333 510 19.4503816794 9.0 208 85 6.91603053435 4.0 17283 8.434256 88153.873764 227374.991394 38.770259 393.0 59640.205608 393.0 28513.668155 981.0 147.0 246.0 0 0 333 510 19.4503816794 9.0 333 510 19.4503816794 9.0 208 85 6.91603053435 4.0 17284 8.631047 50 699 165.24 63.0 2 50 8262 7389217 68.989948 77.120002 154.585927
