=== SETTINGS ===
{'noise_lvl': 3, 'level': 3, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.3, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1384.058093 1644.975749 2728.991881
922.533470 1234.012599 1824.865978
844.020726 1216.905456 1610.395545
871.284179 1150.849263 1635.970067
757.492099 1004.710226 1415.617448
1516.073994 2027.375549 3027.143554
964.726456 1500.714095 1878.027178
841.273975 1091.292576 1589.637186
1174.563076 1814.401723 2279.820441
1279.580283 2043.469672 2539.515001
831.883437 1113.351876 1575.359031
1133.386100 1764.768662 2179.707310
1298.593297 1940.460958 2554.686100
1173.421630 1510.225696 2316.678443
1161.141361 1345.655571 2344.454589
933.154315 1357.882208 1822.589144
902.686450 1426.419417 1730.523756
866.995610 1149.539756 1580.711401
1206.914834 1615.092140 2401.052943
1031.417467 1249.683454 1992.863225
