=== SETTINGS ===
{'k_up': 5, 'k_low': 2, 't0_up': 0.9, 't0_low': 0.2}
26/100	(0.260)	9 << No cover match, worse code length
74/100	(0.740)	10 << No cover match, better code length
8781.907724 8563.092328 20003.758459
6733.604634 5806.799183 15067.809486
3406.550802 3690.034666 7375.061635
1860.374839 2107.647288 4113.222034
9731.155449 7976.363765 22437.311843
15858.510080 8989.492031 27483.358818
11635.198879 11023.992679 28595.120035
4284.689155 4311.389365 9769.733262
8083.791058 7599.070194 19646.242097
11650.221980 9430.384435 27981.412365
3004.293765 3948.943189 6599.386581
17328.022760 13097.379398 43073.653400
8514.472611 7602.619787 18880.197818
15001.364152 12005.521294 37355.617407
6583.551725 5033.671887 15634.645809
4298.367218 4094.080727 9289.539283
9081.056455 7391.634417 20690.061307
35670.985412 17797.117931 57396.669142
5491.637656 5129.145404 12449.296842
10189.480099 10003.129662 24540.143053
4695.826231 4456.660314 11036.326491
5150.502217 3846.565598 11450.377407
6446.575797 7566.192034 14519.680605
7217.353513 6016.590810 16344.201463
8431.781129 8583.680719 19211.386374
25176.362991 14237.886399 43129.203125
2907.572916 3934.489200 6358.350877
3686.717366 2981.300344 8131.199481
13808.602562 11062.804931 34126.155290
9626.576630 7396.796388 21665.515007
18928.197065 14508.182047 47950.123742
29604.817429 12058.428049 40691.139881
11366.056257 11173.109765 27105.625040
12667.766613 10527.239918 30706.199842
9673.102008 8806.601065 23284.339509
22709.363884 11473.592349 31062.794530
15621.868103 10551.376345 38979.928643
16467.489151 17177.052913 40232.732157
4413.548621 3815.071790 9375.096856
42764.985328 18005.108029 68490.937045
16139.873256 12753.431887 39561.981215
17965.487922 14890.256753 44467.545350
10191.490415 10786.649627 24707.909416
2692.806003 2881.529853 6021.092776
4336.472148 5054.361387 9866.200612
12373.251980 10886.535310 30209.063911
8985.668782 6489.847486 21117.144304
8845.170408 7071.605333 20857.335525
10182.353500 10266.506481 23266.046478
15535.530565 13818.778161 38408.714636
11087.610454 12201.124555 25923.808796
26149.246844 15710.549492 41686.866372
1974.728254 2427.872578 4090.466807
2996.023900 4367.375597 6818.748726
17235.939594 12684.027364 43957.183143
10088.499273 10808.567821 23954.897952
10414.602178 8391.482216 23475.064747
26812.810177 13263.374465 44599.669658
3747.488566 3564.775116 8192.685189
3240.588181 2697.848563 6877.627530
8443.615956 7937.048703 18640.317756
6971.077134 6723.538555 16410.564890
6160.470602 6383.128020 13835.199204
6614.311502 6624.207106 14743.986876
9421.613639 8988.223546 22056.904902
11828.854569 9301.227796 27916.236309
10499.204505 9521.730017 24272.770956
13696.043167 10573.549850 34191.320343
7314.194256 5679.830352 16344.730959
10167.158039 8807.672462 22976.148161
11404.415287 9569.992809 28034.426591
5369.607138 5386.887687 11290.501094
9090.725746 8960.713169 21809.973178
10231.610573 8158.094614 24755.213837
3390.355844 3578.816783 7689.352726
3542.849588 2617.286269 8201.282610
10325.457592 8629.439709 24945.538533
5625.148268 5061.724167 12686.093458
4773.503988 5355.665144 10486.105764
19465.559313 14092.841705 48424.384459
4641.774696 4495.248948 9919.073959
11755.462763 8894.034530 28488.971243
7951.398093 7585.871046 18070.622731
10380.371724 10890.311425 24662.528235
8911.126278 9569.651351 20204.148479
5002.655435 5022.803507 10980.262355
16091.307301 11329.797258 40498.769022
6467.514868 5228.000525 14686.887633
7741.915951 7087.339467 18530.332317
6214.015053 6898.986092 13649.256955
15740.853714 10786.032523 39572.181316
2046.684343 2775.941111 4138.080461
10644.336544 8174.902223 25745.108645
12928.373573 10972.883873 32261.706080
11180.947648 10013.596125 27033.422361
10286.106210 8715.298260 25457.030492
4865.503764 4502.262321 10954.763135
6169.246476 5932.356291 14806.390446
15399.076772 12256.978478 37436.185563
6744.988088 5288.217823 15916.962650
