=== SETTINGS ===
{'noise_lvl': 2, 'level': 3, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1194.813081 1514.785397 2489.655330
1302.110492 2272.088313 2817.828306
795.545188 1129.268218 1573.097415
1134.809447 1677.075764 2408.945098
866.481552 1359.226103 1792.574029
858.133691 1127.753302 1730.946933
1073.516151 1236.804346 2191.095093
1003.196029 1259.844418 2030.399094
870.838896 1308.727452 1789.231367
1146.652525 1598.477681 2379.442434
871.972214 1297.890561 1794.145473
1150.061607 1644.540446 2404.889425
1219.167234 1524.270136 2516.989443
855.320041 993.294795 1709.138682
912.343106 1235.967788 1857.709249
661.558249 820.710837 1281.311263
818.598331 1014.121989 1669.098886
1014.769973 1306.227212 2067.844452
894.622431 1380.208847 1837.255874
1343.003407 1875.163841 2854.698702
