=== SETTINGS ===
{'noise_lvl': 1, 'level': 3, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
797.810570 1030.604892 1628.790865
998.596506 1274.852484 2036.034810
827.433434 924.451500 1670.266219
819.861020 1285.895923 1652.374780
1203.246088 1968.090585 2507.215866
930.568809 1058.688127 1884.290458
1122.702773 1537.226432 2376.300288
1299.548333 1667.181851 2777.089155
1167.026005 1737.766650 2461.928121
1328.611977 2064.902841 2800.851273
1050.457547 1427.584307 2187.734995
1007.839372 1252.928636 2146.580914
1222.090813 1673.701907 2558.353584
1369.064922 2070.847601 2912.647164
777.321085 1162.592566 1565.569818
1189.505960 1795.026678 2470.532938
786.744332 897.809189 1536.829249
1288.833449 1642.178584 2748.160881
1234.419677 1804.001289 2590.717438
650.582055 739.031012 1254.587745
