=== SETTINGS ===
{'noise_lvl': 1, 'level': 3, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.3, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1104.411405 1726.535582 2220.689333
987.614585 1437.455096 1993.748045
836.696848 1029.712947 1652.884360
1011.369791 1578.375392 2070.033017
1294.341076 1931.008380 2656.381515
746.426087 1111.738750 1424.922383
814.112423 1201.619381 1595.429063
695.050041 749.474625 1285.775964
908.910841 1413.675241 1829.581747
777.287752 888.120087 1507.376816
890.053001 1195.067140 1753.252410
733.894686 1175.660665 1399.426930
1126.301668 1494.163774 2279.962392
806.669002 1072.284637 1566.256783
887.711846 1319.396695 1746.409285
1127.901643 1415.722368 2283.570129
1309.192667 1575.682689 2714.848916
1399.849611 2248.950070 2917.459938
931.710318 1306.259600 1855.214564
707.174569 1051.760567 1345.401546
