=== SETTINGS ===
{'noise_lvl': 1, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1323.359485 1702.317975 2917.794297
1608.498712 1900.279092 3592.758705
1756.058633 3033.575960 3934.544049
1722.760556 2640.452792 3754.302113
1760.826238 1942.082935 3928.824658
1382.784576 1765.436606 3018.109783
1495.832428 2105.180509 3269.828832
1599.954310 2301.115121 3537.560866
1510.625056 2140.037422 3355.227181
1428.382784 2346.712616 3122.839776
1276.209803 1367.941621 2835.816163
1572.812571 1581.072300 3546.942202
1895.399432 2350.197320 4204.706466
1363.056423 2227.940468 3064.199690
1753.336819 2209.554396 3936.385239
1831.406644 2954.313253 4084.839918
1725.650893 2656.800752 3841.013282
1751.911077 1848.158218 3976.106060
1793.851951 1901.647428 4008.905423
1227.761411 1557.611409 2715.013226
