=== SETTINGS ===
{'noise_lvl': 2, 'level': 3, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.3, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
951.532930 1332.674847 1912.211753
1401.576700 1824.914431 2826.647005
1089.299977 1704.936926 2210.671735
1100.041477 1608.567716 2209.850701
1444.589534 2195.531064 2949.167601
1211.650388 1891.525042 2424.267754
808.336181 1034.929182 1579.165790
1030.261048 1350.313427 2039.583713
928.903379 1409.056989 1816.030122
1067.414484 1462.930139 2112.794982
877.137454 1076.412568 1692.263095
1363.298552 1903.242479 2789.745187
883.451005 1089.183886 1720.901825
929.633744 1480.588155 1807.422723
1341.124582 1810.648286 2770.736429
995.218362 1370.737453 2006.366905
1357.133921 1692.200968 2752.958104
1034.785220 1167.466561 2032.015126
949.435111 1403.466548 1871.862180
964.218098 1218.931497 1908.705854
