=== SETTINGS ===
{'noise_lvl': 0, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.0, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
3341.541986 3097.851123 8000.852137
3039.739185 2818.884165 7016.434616
3193.314818 2539.506046 7689.759057
2403.758607 2221.478122 5578.545995
3324.645469 3055.428169 7857.921376
3343.342299 2820.363524 8001.122907
3113.027598 2582.050612 7338.025305
2568.337224 1998.172213 6116.430071
3091.946335 2383.416666 7403.199892
3131.146003 2856.831369 7345.391702
2287.123420 1764.614725 5516.753783
3301.656239 2761.710659 7881.410209
2456.521468 2011.454840 5866.827358
3306.877613 2771.862417 7908.910978
2416.666156 2070.106034 5652.095694
2790.959261 2084.020428 6549.754925
2718.029923 2398.801755 6338.458321
2499.136794 2046.276199 5856.598948
2506.363569 2153.958810 5924.310033
2449.468818 1979.817430 5785.837219
