=== SETTINGS ===
{'noise_lvl': 0, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.0, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1583.633701 1850.817987 3577.240552
1452.926077 2340.136781 3315.790045
1307.701530 2112.095917 2946.260929
1683.947538 2708.870215 3866.819746
1425.767788 2230.138621 3210.986560
1704.948465 2803.983203 3894.329493
1487.007370 1546.624870 3431.945461
1299.579103 2104.766989 2904.486817
1303.437379 1748.137133 2957.510252
1796.954202 2679.570094 4153.455014
1689.744055 2998.079927 3904.639265
1475.012299 1737.333885 3306.331990
1776.748233 3002.121470 4098.407588
1982.457735 3172.993424 4504.251741
1428.695253 2477.406647 3327.689438
1510.058675 1825.433488 3416.890785
1398.559788 1794.768617 3131.790673
1381.207554 1721.154486 3136.047738
1366.575641 1511.588782 3118.925740
1970.205399 3308.100233 4530.772517
