=== SETTINGS ===
{'noise_lvl': 2, 'level': 2, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1534.488280 1687.236980 3306.325638
1275.029110 2168.477300 2746.588764
1430.925007 2053.537934 3079.179340
1101.646012 1194.137283 2327.023957
1677.944039 2719.201357 3642.087991
1152.566809 1275.097334 2439.248888
1277.096425 2034.702705 2756.149633
1756.683780 2032.825679 3800.383261
658.267320 1050.664461 1300.798928
615.579800 851.027048 1224.254653
586.327586 657.287153 1191.194814
540.104886 668.003982 1069.130440
729.496877 896.398786 1465.607366
1527.143584 2355.195940 3334.408435
601.467630 849.355679 1199.566149
939.155284 1484.304136 2005.490173
1211.426078 1834.152341 2596.076848
683.680838 1100.011423 1377.179756
512.521099 611.858175 990.237511
1230.446250 1897.734342 2619.456511
