=== SETTINGS ===
{'noise_lvl': 2, 'level': 2, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
505.242131 576.706172 961.880237
861.080305 1011.055997 1740.935320
858.785762 1327.660387 1738.008988
1208.852175 1299.878268 2464.231907
1833.545001 2716.611521 3933.035421
1133.156049 1669.438961 2390.784929
1047.264219 1199.684722 2159.839783
1572.485741 1988.419279 3309.985822
1404.322129 1806.193459 3003.844716
566.606842 791.137131 1119.516149
1431.344035 1753.158600 3005.589333
1049.303051 1128.206415 2205.138909
1366.920848 1918.819498 2885.387002
584.518692 874.891941 1153.605489
1437.234019 2252.369484 3072.824211
671.766909 959.000937 1337.193278
1059.872402 1486.706342 2199.071043
626.920880 748.605848 1207.708457
774.744098 792.983706 1511.321872
1680.476404 2454.727577 3562.300644
