=== SETTINGS ===
{'noise_lvl': 2, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
3603.869831 3210.009326 8455.619218
2676.971754 2222.415963 5949.025331
2505.497628 2016.574898 5654.161139
3684.899143 3061.795177 8373.300129
2915.476472 2154.567984 6694.019860
2563.031818 2222.849719 5781.980291
3620.901520 3252.775466 8129.696055
2563.622771 2201.302746 5705.359135
3061.086434 2702.058447 7105.624472
2817.734810 2311.492135 6529.692322
3295.950631 2588.391965 7382.905914
3692.141484 3211.011391 8455.834105
2493.645276 1946.262767 5622.939365
2728.510354 2204.424658 6181.644558
2591.820597 2067.799031 5863.092899
3906.804871 3358.064080 8783.878115
3403.725832 2656.422781 7704.305808
2495.483934 2020.296952 5596.969133
3057.261720 2688.737168 6820.920142
2898.198995 2310.140310 6333.169361
