=== SETTINGS ===
{'noise_lvl': 3, 'level': 3, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1416.975654 2113.148113 2887.299689
1389.023388 2220.474153 2927.347736
881.799499 1223.147059 1757.072028
1105.840855 1370.480126 2227.742789
722.094041 1055.241127 1357.344762
1404.184121 2130.059806 2854.300935
1118.089904 1586.785762 2263.796358
1166.624300 1469.105628 2301.360688
906.500132 1320.255213 1839.380560
922.666546 1135.923181 1783.450988
907.338836 1042.046618 1729.362137
1238.495097 2035.711367 2538.955867
1078.152911 1426.356109 2160.934340
1245.126254 2003.570917 2528.767422
1135.033709 1580.452727 2286.943431
1344.562391 1952.849531 2780.825063
1098.414389 1575.856654 2175.733190
914.550193 1151.874361 1772.170844
1032.932984 1332.423517 2130.950834
745.844008 953.338067 1400.604175
