=== SETTINGS ===
{'noise_lvl': 0, 'level': 2, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.0, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
483.726725 614.581563 947.977494
1066.095091 1757.020100 2302.154362
1507.176071 2012.795811 3418.676977
561.213498 769.570711 1143.719663
877.540219 1230.079514 1852.515521
1284.908196 2215.539180 2811.720388
1995.078302 2821.148073 4446.934283
827.027109 1320.462568 1752.174455
1420.665438 1894.455637 3172.868531
597.130844 720.544116 1246.757471
1843.648723 3202.174998 4098.722368
588.728913 856.549819 1203.797599
1400.336017 2053.583494 3062.538170
801.888319 1086.759108 1697.018599
920.441471 1029.962037 1979.924912
911.617622 1180.833451 1939.535478
1137.733287 1431.202447 2542.455261
672.614802 890.498154 1421.529178
763.381829 1075.644862 1584.305699
901.174674 1376.444571 1948.524606
