=== SETTINGS ===
{'noise_lvl': 3, 'level': 2, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
599.532583 824.867542 1151.660600
784.929884 1094.886318 1617.080965
1324.541415 1788.340557 2749.279523
704.834097 1119.438375 1378.488250
1195.831014 1578.525874 2462.045483
965.466981 1229.180091 1933.825134
1035.902820 1467.188935 2095.597532
660.076834 711.936040 1297.829775
1772.974606 2052.336151 3799.132835
1512.257893 1627.892408 3141.796550
1669.874385 2297.888156 3635.179578
1073.662993 1717.710747 2200.518348
694.671115 920.682401 1326.877785
722.156846 845.435905 1454.571859
1419.577935 1889.688987 2979.844444
916.194611 1276.045656 1817.363284
1154.183250 1842.928695 2387.837292
1049.221566 1391.974491 2140.355499
843.277274 1114.165811 1664.586907
1543.352614 2594.971281 3194.054186
