=== SETTINGS ===
{'noise_lvl': 2, 'level': 2, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
1220.748027 1106.070752 2609.600220
1804.054378 1372.297919 3942.556142
877.567786 682.362218 1847.372621
1018.119313 902.038439 2044.800335
1864.094295 1809.309075 4076.027061
2255.642175 1992.275587 4928.967247
1231.719006 1131.785314 2558.888740
2610.616221 2267.119491 5654.425318
2551.103242 2387.284147 5604.095205
997.972172 844.797915 2117.922407
1500.412089 1325.273916 3220.832355
1417.486919 1380.956528 2969.039643
946.365545 825.393615 1929.047791
996.446028 965.946812 2092.413469
1082.361609 864.909706 2266.893307
2458.522945 1983.895223 5374.198260
2830.581576 2470.622446 6186.333027
2087.867428 1835.256538 4601.593350
1863.728417 1800.798775 3932.254233
2592.075988 2244.461514 5763.863315
