=== SETTINGS ===
{'noise_lvl': 3, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1712.571302 2123.604982 3749.896448
1815.637523 2627.360979 4087.251191
1364.724935 1714.193686 3078.045563
1715.506709 2187.853327 3790.286710
1700.522678 2864.049475 3798.238502
1425.166493 2092.228746 3140.951032
1906.906925 2931.095055 4319.101825
1640.777964 1801.995472 3686.216212
1378.969878 2295.450446 3091.796198
1195.462207 1395.721293 2671.118518
1865.301199 2997.458256 4117.451744
1861.402552 2175.375519 4202.777545
1586.107579 2197.363711 3514.961073
1885.668569 3085.900832 4226.353868
1374.411288 2285.278127 3014.974751
1788.157888 2933.287771 4034.422425
1806.941343 2382.009620 4092.803225
1603.829733 2736.769593 3628.865775
1408.970827 2005.618658 3130.807293
1747.684166 2438.581428 3823.029488
