=== SETTINGS ===
{'noise_lvl': 1, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1663.375897 1966.549709 3744.514502
1756.711047 2286.835383 3962.292782
1838.042060 2033.970849 4122.444117
1762.005156 2022.309607 3939.132517
1567.007478 1701.035698 3534.799943
1520.796586 2168.187229 3521.399339
1589.135094 2524.502491 3560.566845
1870.581332 2249.975096 4226.928115
1756.479433 2195.302548 4060.482269
1462.515549 1737.577434 3244.021255
2003.118632 2860.350806 4488.349583
1546.386797 2036.421688 3489.213276
1669.112189 2158.639058 3689.310571
1396.082791 2202.289987 3123.230218
1910.746074 2838.836140 4360.184783
1433.147510 1615.879900 3158.600323
1444.497989 2151.829718 3198.010083
1792.989119 2906.145365 4120.138783
1549.513288 2563.643836 3497.059223
1906.811669 2816.472679 4329.250798
