=== SETTINGS ===
{'noise_lvl': 0, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a [d=1] c [d=2] d', 'noise_dens': 0.0, 'nb_occs': 500, 'p_down': 10, 'j': 3, 'p_up': 25, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
11250.569834 8655.302321 27855.364675
10364.112276 6986.716159 25614.907850
11871.848391 8652.332910 29592.028299
8910.950777 7843.934869 21900.441934
11376.796170 8229.618813 28461.502907
9723.187479 8343.991985 23967.682145
9872.149523 8397.832551 24420.776009
11376.110216 6899.341013 28493.927092
9531.907049 7963.010542 23530.831964
11906.702482 9461.225744 29678.165541
11871.093110 8061.588101 29609.067243
9343.477936 7199.447250 23247.207895
11642.079468 9870.709885 28929.759567
12514.852904 9219.469201 31124.870558
10847.657654 8632.588296 26984.760433
11844.971597 10059.791403 29393.293868
13314.506454 11412.861374 33050.216714
10148.025151 7809.634672 25274.050618
10321.171260 8653.174136 25424.469614
10320.236585 8002.937174 25574.748646
