=== SETTINGS ===
{'noise_lvl': 1, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.2, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
2775.401002 2501.631021 6284.531615
3559.238308 2811.780719 8147.351234
2576.625411 2022.264301 5888.071828
3353.847655 2592.183622 7701.770336
3134.694627 2634.601945 7208.484267
3067.348323 2479.611313 7154.851016
3357.089698 2982.422209 7596.371226
2463.216943 2110.270587 5553.929029
3110.855527 2350.394228 7288.618092
3483.820264 3145.983240 8073.502683
2619.748655 1872.868630 6064.586076
3330.871244 2846.055609 7698.306978
3290.691148 2437.897859 7749.532941
2600.232607 2427.405599 5934.678556
2768.189406 2492.457837 6227.503706
2979.492413 2106.040290 6934.568774
3710.085726 3276.031884 8592.329221
3288.996343 2746.657263 7518.336099
2824.244588 2296.311141 6460.859376
3585.928270 3205.608501 8218.228740
