=== SETTINGS ===
{'noise_lvl': 2, 'level': 2, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.3, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
906.584006 995.999656 1825.611754
883.732495 947.366370 1720.772395
998.384782 1485.484231 1999.351101
1241.116707 1479.052610 2534.631512
641.203433 700.046231 1232.280805
840.159704 1019.670767 1719.254622
1194.248863 1522.729701 2485.275384
1258.271307 1860.979772 2560.103627
837.048544 1283.639523 1715.506731
1118.732634 1926.655510 2312.624136
1879.122653 2748.293760 4018.057773
1484.883912 2288.744929 3114.557647
781.572643 903.295984 1550.207493
945.544232 1576.180176 1920.640594
1028.323599 1218.874523 2155.118288
649.144590 999.304317 1227.925285
781.941075 1191.674892 1593.613718
1553.811591 2422.878034 3229.308574
1783.958073 2325.577289 3737.557692
715.469014 1148.181039 1407.015635
