=== SETTINGS ===
{'noise_lvl': 3, 'level': 3, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
634.815077 741.614314 1239.811742
941.359532 1339.959121 1950.762711
1035.751846 1474.489959 2124.580965
1048.861425 1317.289229 2177.890640
852.367689 1240.244630 1710.410693
713.406446 1029.105365 1409.370059
1177.402434 1755.334143 2446.500926
712.221048 1100.261556 1396.208165
754.114049 1080.058889 1510.534710
883.051810 1251.032151 1795.910476
1246.034058 1938.473281 2564.870081
838.835040 1163.014827 1645.079946
789.166267 969.576382 1532.137109
844.503909 1238.141524 1733.201426
833.788638 1177.719283 1629.299987
890.504479 1502.714489 1751.883188
894.021852 1256.822500 1802.553955
882.630783 1405.197332 1776.529314
887.186657 1173.651294 1793.122291
1036.195902 1452.605905 2105.620088
