=== SETTINGS ===
{'noise_lvl': 1, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
2443.543533 2042.396399 5794.993385
3581.931576 3217.135650 8382.236661
3345.552262 2371.191599 7798.916307
2166.195686 1592.649705 5108.915293
3452.734283 3176.408321 8122.743917
2871.897342 2316.713763 6874.979514
2152.885982 1609.637531 5063.979841
2584.774938 2001.158965 6052.400587
2873.220182 2140.664894 6677.799982
2899.455952 2646.772200 6708.244644
2638.687379 2193.134000 6139.288084
3421.003582 3106.178060 7919.069684
2292.783420 1904.231634 5313.698312
2757.707631 2066.627140 6593.381577
3276.543567 2973.570175 7727.650576
2520.856113 2235.473399 5852.107173
3057.421559 2208.085804 7187.363125
2846.103950 2450.053248 6575.486585
3372.478769 2725.484908 7731.221104
2578.918014 1999.148278 5997.538401
