=== SETTINGS ===
{'noise_lvl': 2, 'level': 1, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.1, 'nb_occs': 500, 'p_down': 5, 'j': 1, 'p_up': 10, 'overlap': False}
20/20	(1.000)	10 << No cover match, better code length
3831.483349 3375.066068 8804.923877
2468.194088 2143.299852 5694.963790
2565.174851 2289.430156 5861.506685
3345.067634 2605.135036 7921.783986
2967.222333 2339.574588 6790.135603
2559.301169 1989.134807 5933.964799
2314.018580 1793.983706 5272.520860
3196.988618 2293.629056 7436.582437
3295.318620 2826.902092 7661.025898
2981.089813 2301.352940 7046.780894
2507.691890 2128.538181 5753.784314
3478.599593 3125.457229 8060.546981
3316.395429 2550.377768 7719.753422
2582.087757 2031.178945 5929.845380
2598.725319 2422.402749 6085.467312
3039.155359 2626.508940 6938.133557
3521.066019 3251.260662 8268.951718
3350.603302 2856.948705 7795.106019
2977.098623 2463.947698 6787.827778
3242.744982 2754.648189 7463.908886
