=== SETTINGS ===
{'noise_lvl': 0, 'level': 3, 'add_noise': [('a', 0.5)], 'inner': 'a', 'noise_dens': 0.0, 'nb_occs': 250, 'p_down': 10, 'j': 0, 'p_up': 25, 'overlap': False}
20/20	(1.000)	9 << No cover match, worse code length
1045.503419 1430.973812 2193.835995
1039.098160 1189.489850 2163.355902
843.976598 1216.436918 1734.900929
854.316106 1199.911414 1785.166424
1183.547247 1780.577145 2500.629974
1052.093109 1671.764872 2265.544200
768.495893 1016.188077 1534.821191
1059.676354 1778.473604 2212.884812
993.313892 1283.373721 2067.760824
680.553792 951.244089 1363.825213
1004.032766 1537.954384 2097.791599
897.010090 1268.554774 1838.783070
1162.432447 1573.737635 2483.602050
838.843586 1063.961419 1740.694332
834.802178 1295.855997 1767.273289
1337.396541 2095.474509 2850.389592
679.685746 988.680974 1342.578006
1318.265060 2056.960079 2840.407960
1038.875195 1629.046228 2153.698091
783.189593 1171.233387 1576.099388
