0	0:Ix
11	0:C
85	2438:E
111	2438:X
119	2438:E
129	2438:X
143	2438:C
164	19:C
2195	0:Ix
2214	0:Ix
2220	0:C
2242	2416:C
2259	2413:C
2271	1840:C
2611	0:Ix
2617	0:C
2636	1797:C
2977	0:Ix
2981	0:C
2995	1797:C
3220	0:Ix
3224	0:C
3363	1797:C
4742	0:Ix
4747	0:C
4787	1797:C
4859	0:Ix
4864	0:Ix
4870	0:C
4889	2395:X
4896	2395:E
4917	2395:C
5095	0:Ix
5100	0:Ix
5105	0:C
5124	2400:E
5145	2400:X
5152	2400:E
5169	2400:C
6049	0:Ix
6055	0:C
6088	1714:U
6096	1714:u
6140	1714:Ix
6148	1714:C
6220	2430:Ix
6224	2430:Ix
6288	2430:C
6294	2400:X
6302	2400:E
6365	2400:X
6372	2400:E
6405	2400:X
6415	2400:E
6420	2400:X
6429	2400:Ix
6436	2400:C
6579	2428:C
6611	2400:C
6693	0:C
6702	2432:C
6797	0:Ix
6801	0:C
6862	2428:C
7035	0:C
7043	2432:C
12193	0:Ix
12223	0:Ix
12230	0:C
12266	2429:Ix
12277	2429:C
12288	12:C
12341	6:C
12349	2404:C
12383	2396:X
12438	2396:E
12492	2396:X
12572	2396:E
12699	2396:X
12867	2396:E
12908	2396:C
12942	2398:E
12951	2398:U
13092	2398:C
13151	2414:C
13171	2398:u
13180	2398:X
13276	2398:C
13483	0:Ix
13490	0:C
13908	2427:C
14967	0:Ix
14972	0:Ix
14979	0:C
15013	2395:X
15021	2395:E
15031	2395:Ix
15038	2395:C
15076	2429:C
15088	2418:U
15146	2418:u
15163	2418:C
15185	1699:C
15209	2395:C
16666	0:Ix
16670	0:Ix
16677	0:C
16694	2400:E
16712	2400:X
16718	2400:E
16735	2400:C
17784	0:Ix
17789	0:Ix
17793	0:C
17797	2400:X
17803	2400:E
17856	2400:X
17862	2400:E
17885	2400:X
17892	2400:E
17897	2400:X
17920	2400:C
18612	0:Ix
18617	0:C
18636	1797:C
18976	0:Ix
18981	0:C
18995	1797:C
19225	0:Ix
19229	0:C
19447	1797:C
20880	0:Ix
20884	0:C
20938	1797:C
20957	0:C
20968	2413:C
22194	0:Ix
22217	0:Ix
22225	0:C
22236	1840:C
22268	2394:C
22304	2404:C
22311	6:C
22329	2395:X
22337	2395:E
22494	2395:X
22499	2395:E
22537	2395:X
22655	2395:E
22680	2395:X
22763	2395:C
22786	2397:E
22975	2397:C
23491	0:Ix
23497	0:C
23531	2395:E
23557	2395:C
26175	0:C
26198	1714:C
26214	19:C
27977	0:Ix
27982	0:Ix
27987	0:C
28001	2400:E
28019	2400:X
28026	2400:E
28043	2400:C
29091	0:Ix
29096	0:Ix
29101	0:C
29105	2400:X
29111	2400:E
29159	2400:X
29165	2400:E
29189	2400:X
29197	2400:E
29201	2400:X
29224	2400:C
30350	0:Ix
30356	0:C
30378	6:C
32197	0:Ix
32274	0:Ix
32281	0:C
32311	2429:C
32318	12:S
32359	12:s
32370	12:C
33599	0:Ix
33604	0:Ix
33609	0:C
33624	2395:X
33630	2395:E
33650	2395:C
34608	0:Ix
34613	0:C
34630	1797:C
34976	0:Ix
34981	0:C
34995	1797:C
35219	0:Ix
35223	0:C
35354	1797:C
36720	0:Ix
36725	0:C
36759	1797:C
39280	0:Ix
39284	0:Ix
39290	0:C
39302	2400:E
39319	2400:X
39325	2400:E
39342	2400:C
40392	0:Ix
40396	0:Ix
40401	0:C
40405	2400:X
40410	2400:E
40448	2400:X
40454	2400:E
40474	2400:X
40480	2400:E
40484	2400:X
40506	2400:C
42195	0:Ix
42203	0:Ix
42208	0:C
42216	8:C
42228	1840:C
42241	0:Ix
42246	0:C
42286	6:C
42293	2404:C
42321	2396:X
42353	2396:E
42395	2396:X
42450	2396:E
42591	2396:X
42805	2396:E
42843	2396:C
42870	2398:E
42878	2398:U
42994	2398:C
43046	2414:C
43066	2398:u
43074	2398:X
43135	2398:C
43352	0:Ix
43358	0:C
43692	2427:C
43713	0:Ix
43717	0:Ix
43723	0:C
43742	2395:X
43748	2395:E
43769	2395:C
44854	0:Ix
44860	0:C
44874	2418:U
44940	2418:u
44954	2418:C
44977	1699:C
46040	0:Ix
46047	0:C
46077	1714:U
46085	1714:u
46130	1714:Ix
46138	1714:C
46246	2430:C
46347	0:Ix
46353	0:C
46437	2428:C
46599	0:C
46608	2432:C
46692	0:Ix
46697	0:C
46754	2428:C
46929	0:C
46937	2432:C
48785	0:Ix
48789	0:Ix
48796	0:C
48805	2390:X
49252	2390:E
49275	2390:C
50565	0:Ix
50569	0:Ix
50575	0:C
50590	2400:E
50611	2400:Ix
50618	2400:C
50638	1797:C
50654	2400:X
50662	2400:E
50680	2400:C
50981	0:Ix
50985	0:C
51001	1797:C
51220	0:Ix
51225	0:C
51409	1797:C
51730	0:Ix
51735	0:Ix
51740	0:C
51745	2400:X
51752	2400:E
51831	2400:X
51839	2400:E
51883	2400:X
51892	2400:E
51898	2400:X
51926	2400:C
52207	0:Ix
52231	0:Ix
52240	0:C
52277	2429:C
52288	8:Ix
52306	8:C
52316	0:Ix
52323	0:C
52336	6:Ix
52346	6:C
53042	0:Ix
53047	0:C
53111	1797:C
53132	0:C
53147	2413:C
53812	0:Ix
53818	0:Ix
54905	0:Ix
54910	0:C
55000	2429:U
55014	2429:U
55041	2429:U
55060	2429:u
55067	2429:U
55075	2429:u
55078	2429:u
55080	2429:u
55118	2429:U
55128	2429:U
55144	2429:U
55153	2429:u
55159	2429:U
55165	2429:u
55167	2429:u
55170	2429:u
55189	2429:C
